港台频道,#genre#
TVB星河,http://r.jdshipin.com/Voac4
TVBS新闻,http://ccczb.top/mk2.php
Arirang,http://amdlive-ch02.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
寰宇新闻,http://ccczb.top/mk2.php
TVB明珠,http://r.jdshipin.com/ZQ4kN
TVBS新闻,http://104.225.237.144:52055/youtube/m_dhMSvUCIc
TVB明珠,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
Arirang,https://cdn-01.bonus-tv.ru/arirang_edge/playlist.m3u8
TVB明珠,http://122.152.202.33/s/81a8a44f/index.m3u8
TVB新闻,http://122.152.202.33/s/81a8a44f/index.m3u8
Arirang,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/chunklist_w1949275579.m3u8
TVB新闻,http://r.jdshipin.com/CkuBd
TVB明珠,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
TVB新闻,http://livetv.dnsfor.me:80/channel.10.m3u8
TVB新闻,http://livetv.dnsfor.me/channel.10.m3u8
寰宇新闻,http://jnzq.ohoyee.com:9080/live/hy.m3u8
三立新闻,http://xn--elt51t.azip.dpdns.org:5008/iNEWS/index.m3u8
Arirang,https://amdlive-ch03-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
TVB新闻,http://livetv.dnsfor.me/channel.10.m3u8
TVBS新闻,http://zb.xmzb.xyz/123b.php
TVBS欢乐,http://zb.xmzb.xyz/123b.php
TVB功夫,https://lb-mvtv-live.v2h-cdn.com/redirect/asia_action1/1asia_action.stream
TVB PLUS,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
TVB PLUS,http://mytv.27481716.xyz/mytvsuper/B
TVB明珠,http://122.152.202.33/s/81a8a44f/index.m3u8
TVB明珠,https://mytvsuper.ecword.cloudns.be/P
TVB明珠,http://php.jdshipin.com:8880/ub.php
TVB PLUS,https://mytvsuper.ecword.cloudns.be/B
TVB星河,http://zb.xmzb.xyz/123b.php
TVB明珠,http://120.198.101.106:9901/tsfile/live/1008_1.m3u8
TVB星河,http://120.198.101.106:9901/tsfile/live/1005_1.m3u8
